date,midprice,callput,ttm,spxclose,r,q,strike
31/12/2009,750.94995,0,261,1115.1,0.45323801,2.0682471,350
31/12/2009,800.70001,0,261,1115.1,0.45323801,2.0682471,300
31/12/2009,845,0,352,1115.1,0.565162,2.0682471,250
31/12/2009,894.70001,0,352,1115.1,0.565162,2.0682471,200
31/12/2009,994,0,352,1115.1,0.565162,2.0682471,100
31/12/2009,745.90002,0,352,1115.1,0.565162,2.0682471,350
31/12/2009,770.59998,0,352,1115.1,0.565162,2.0682471,325
31/12/2009,795.40002,0,352,1115.1,0.565162,2.0682471,300
31/12/2009,0.025,1,16,1115.1,0.228002,2.0682471,350
31/12/2009,0.025,1,16,1115.1,0.228002,2.0682471,300
31/12/2009,0.1,1,51,1115.1,0.250521,2.0682471,350
31/12/2009,0.025,1,51,1115.1,0.250521,2.0682471,300
31/12/2009,0.075000003,1,79,1115.1,0.270356,2.0682471,250
31/12/2009,0.025,1,79,1115.1,0.270356,2.0682471,200
31/12/2009,0.075000003,1,79,1115.1,0.270356,2.0682471,350
31/12/2009,0.075000003,1,79,1115.1,0.270356,2.0682471,300
31/12/2009,0.025,1,170,1115.1,0.32370001,2.0682471,200
31/12/2009,0.075000003,1,170,1115.1,0.32370001,2.0682471,300
31/12/2009,0.25,1,261,1115.1,0.45323801,2.0682471,250
31/12/2009,0.22499999,1,261,1115.1,0.45323801,2.0682471,200
31/12/2009,0.32500002,1,261,1115.1,0.45323801,2.0682471,350
31/12/2009,0.27500001,1,261,1115.1,0.45323801,2.0682471,300
31/12/2009,0.35000002,1,352,1115.1,0.565162,2.0682471,250
31/12/2009,0.075000003,1,352,1115.1,0.565162,2.0682471,200
31/12/2009,0.25,1,352,1115.1,0.565162,2.0682471,100
31/12/2009,0.30000001,1,352,1115.1,0.565162,2.0682471,350
31/12/2009,0.30000001,1,352,1115.1,0.565162,2.0682471,325
31/12/2009,0.25,1,352,1115.1,0.565162,2.0682471,300
31/12/2009,112,0,16,1115.1,0.228002,2.0682471,1005
31/12/2009,107.10001,0,16,1115.1,0.228002,2.0682471,1010
31/12/2009,102.2,0,16,1115.1,0.228002,2.0682471,1015
31/12/2009,97.349998,0,16,1115.1,0.228002,2.0682471,1020
31/12/2009,92.449997,0,16,1115.1,0.228002,2.0682471,1025
31/12/2009,87.650002,0,16,1115.1,0.228002,2.0682471,1030
31/12/2009,82.800003,0,16,1115.1,0.228002,2.0682471,1035
31/12/2009,77.949997,0,16,1115.1,0.228002,2.0682471,1040
31/12/2009,73.199997,0,16,1115.1,0.228002,2.0682471,1045
31/12/2009,68.449997,0,16,1115.1,0.228002,2.0682471,1050
31/12/2009,63.75,0,16,1115.1,0.228002,2.0682471,1055
31/12/2009,58.900002,0,16,1115.1,0.228002,2.0682471,1060
31/12/2009,54.400002,0,16,1115.1,0.228002,2.0682471,1065
31/12/2009,49.800003,0,16,1115.1,0.228002,2.0682471,1070
31/12/2009,45.400002,0,16,1115.1,0.228002,2.0682471,1075
31/12/2009,41.099998,0,16,1115.1,0.228002,2.0682471,1080
31/12/2009,36.900002,0,16,1115.1,0.228002,2.0682471,1085
31/12/2009,32.799999,0,16,1115.1,0.228002,2.0682471,1090
31/12/2009,28.950001,0,16,1115.1,0.228002,2.0682471,1095
31/12/2009,116.95,0,16,1115.1,0.228002,2.0682471,1000
31/12/2009,115.64999,0,51,1115.1,0.250521,2.0682471,1005
31/12/2009,111.15,0,51,1115.1,0.250521,2.0682471,1010
31/12/2009,106.7,0,51,1115.1,0.250521,2.0682471,1015
